Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998,40.000000,38.724998,39.700001,28.121290,212976
2002-08-13,39.750000,40.387501,38.875000,39.162498,27.740541,153576
2002-08-14,39.250000,39.250000,35.724998,36.462502,25.828007,822776
2002-08-15,36.462502,36.462502,36.462502,36.462502,25.828007,0
2002-08-16,36.275002,38.000000,35.750000,36.375000,25.766029,811856
2002-08-19,36.674999,36.674999,35.137501,35.474998,25.128525,205880
2002-08-20,35.724998,38.724998,35.487499,36.462502,25.828007,3773624
2002-08-21,38.474998,39.200001,36.525002,38.250000,27.094175,3011064
2002-08-22,39.512501,41.575001,39.312500,39.900002,28.262957,6732480
2002-08-23,40.250000,43.625000,39.762501,42.299999,29.962973,4841672
2002-08-26,42.974998,43.250000,41.812500,42.150002,29.856730,2576912
2002-08-27,42.500000,44.250000,40.750000,41.099998,29.112967,3694224
2002-08-28,40.974998,41.599998,40.287498,41.137501,29.139526,1674960
2002-08-29,40.887501,41.875000,40.750000,41.137501,29.139526,1236544
2002-08-30,41.262501,45.125000,41.250000,44.049999,31.202576,3762384
2002-09-02,44.750000,45.974998,44.049999,44.500000,31.521347,2389568
2002-09-03,44.750000,44.937500,42.000000,42.412498,30.042665,986784
2002-09-04,41.875000,43.750000,41.387501,43.337502,30.697887,1449856
2002-09-05,44.662498,44.862499,42.500000,43.075001,30.511950,1061360
2002-09-06,43.250000,43.250000,41.012501,41.474998,29.378588,907472
2002-09-09,39.500000,42.687500,39.500000,40.937500,28.997850,880848
2002-09-10,40.937500,40.937500,40.937500,40.937500,28.997850,0
2002-09-11,41.162498,42.700001,41.162498,41.974998,29.732758,635936
2002-09-12,42.487499,43.224998,41.900002,42.187500,29.883286,781968
2002-09-13,40.712502,42.224998,40.637501,40.987499,29.033272,338264
2002-09-16,41.375000,41.599998,39.875000,40.187500,28.466595,288592
2002-09-17,40.912498,41.625000,40.775002,41.362499,29.298887,462952
2002-09-18,41.125000,41.250000,39.750000,40.087502,28.395763,315432
2002-09-19,39.750000,41.075001,39.250000,39.750000,28.156702,490848
2002-09-20,38.325001,39.674999,38.162498,39.099998,27.696268,501072
2002-09-23,39.375000,39.474998,38.275002,38.437500,27.226997,248504
2002-09-24,38.299999,38.299999,36.724998,37.137501,26.306141,267912
2002-09-25,36.275002,37.750000,36.000000,37.424999,26.509794,379544
2002-09-26,38.200001,38.612499,37.750000,38.012501,26.925945,178136
2002-09-27,37.887501,39.000000,37.887501,38.474998,27.253559,206288
2002-09-30,37.887501,38.474998,36.275002,37.075001,26.261875,202232
2002-10-01,37.250000,37.750000,36.125000,36.762501,26.040518,240192
2002-10-02,36.762501,36.762501,36.762501,36.762501,26.040518,0
2002-10-03,37.250000,39.750000,37.250000,37.750000,26.740004,673264
2002-10-04,38.250000,38.362499,37.125000,37.512501,26.571768,258296
2002-10-07,37.762501,38.000000,37.025002,37.349998,26.456667,110976
2002-10-08,37.462502,38.724998,37.250000,38.362499,27.173864,227352
2002-10-09,38.500000,39.112499,37.062500,37.387501,26.483232,277040
2002-10-10,38.500000,38.500000,36.637501,37.424999,26.509794,173224
2002-10-11,38.474998,38.937500,38.112499,38.212502,27.067617,192536
2002-10-14,38.924999,39.000000,37.575001,37.937500,26.872828,152744
2002-10-15,37.937500,37.937500,37.937500,37.937500,26.872828,0
2002-10-16,42.775002,42.775002,37.775002,38.012501,26.925945,247760
2002-10-17,38.250000,38.250000,37.525002,38.012501,26.925945,144512
2002-10-18,38.750000,39.924999,38.287498,38.812500,27.492619,512312
2002-10-21,39.724998,40.737499,39.250000,39.412498,27.917639,646296
2002-10-22,39.750000,39.750000,37.750000,37.987499,26.908251,229384
2002-10-23,38.250000,38.700001,37.525002,37.812500,26.784286,153320
2002-10-24,38.224998,38.349998,36.900002,37.150002,26.315014,168744
2002-10-25,36.500000,37.087502,36.275002,36.387501,25.774897,172296
2002-10-28,36.125000,36.500000,35.549999,35.849998,25.394150,134504
2002-10-29,35.750000,36.450001,35.549999,36.162498,25.615509,143024
2002-10-30,36.500000,37.437500,36.250000,36.775002,26.049372,164320
2002-10-31,37.000000,37.500000,36.799999,37.349998,26.456667,118928
2002-11-01,37.525002,38.150002,36.762501,36.962502,26.182190,108792
2002-11-04,37.500000,37.500000,36.950001,37.237499,26.376991,56560
2002-11-05,36.887501,37.325001,36.599998,36.837502,26.093636,70288
2002-11-06,36.837502,36.837502,36.837502,36.837502,26.093636,0
2002-11-07,37.500000,39.500000,37.500000,37.974998,26.899385,204880
2002-11-08,37.250000,37.737499,37.025002,37.312500,26.430111,77664
2002-11-11,37.500000,37.500000,36.674999,36.750000,26.031664,66568
2002-11-12,36.500000,37.500000,36.500000,36.937500,26.164476,106864
2002-11-13,37.125000,37.224998,36.424999,36.625000,25.943129,106264
2002-11-14,37.200001,37.900002,36.637501,37.125000,26.297287,211856
2002-11-15,37.950001,38.162498,37.500000,37.924999,26.863976,154144
2002-11-18,38.250000,38.737499,37.837502,38.312500,27.138454,217672
2002-11-19,38.312500,38.312500,38.312500,38.312500,27.138454,0
2002-11-20,38.250000,39.875000,38.250000,39.575001,28.032743,406128
2002-11-21,40.312500,44.724998,40.312500,43.000000,30.458828,2664024
2002-11-22,41.387501,45.174999,41.387501,42.337502,29.989536,1184016
2002-11-25,42.750000,43.200001,41.750000,42.262501,29.936424,428920
2002-11-26,42.625000,43.450001,41.775002,42.012501,29.759335,367496
2002-11-27,42.750000,42.750000,40.887501,41.125000,29.130688,301128
2002-11-28,41.525002,43.724998,41.512501,42.799999,30.317156,447680
2002-11-29,42.799999,42.799999,42.799999,42.799999,30.317156,0
2002-12-02,44.875000,49.000000,44.474998,47.387501,33.566689,1388680
2002-12-03,48.500000,52.424999,46.775002,50.099998,35.488075,4082608
2002-12-04,49.224998,51.187500,47.762501,48.424999,34.301586,2594928
2002-12-05,48.125000,51.112499,48.125000,49.650002,35.169315,1720264
2002-12-06,50.500000,51.674999,49.637501,50.950001,36.090157,1139968
2002-12-09,50.750000,51.724998,48.025002,48.500000,34.354698,975768
2002-12-10,47.625000,50.500000,47.275002,49.612499,35.142735,837808
2002-12-11,51.000000,53.987499,50.750000,51.950001,36.798508,3286400
2002-12-12,52.000000,54.000000,52.000000,52.375000,37.099545,2568024
2002-12-13,53.000000,53.674999,52.275002,52.587502,37.250065,1112288
2002-12-16,53.250000,53.674999,50.025002,50.325001,35.647434,1231456
2002-12-17,51.275002,51.275002,48.900002,49.400002,34.992229,855656
2002-12-18,49.950001,50.724998,48.599998,48.937500,34.664616,618096
2002-12-19,49.924999,54.375000,49.375000,53.075001,37.595406,3770256
2002-12-20,53.750000,54.950001,52.500000,53.512501,37.905304,2952072
2002-12-23,53.750000,53.762501,51.250000,51.612499,36.559437,1277744
2002-12-24,51.750000,54.000000,51.562500,53.737499,38.064663,1729840
2002-12-25,53.737499,53.737499,53.737499,53.737499,38.064663,0
2002-12-26,54.150002,55.950001,53.250000,55.262501,39.144901,2894448
2002-12-27,55.650002,55.875000,53.787498,54.012501,38.259468,956984
2002-12-30,54.000000,57.724998,52.762501,57.150002,40.481918,4253744
2002-12-31,57.525002,61.087502,56.000000,60.112499,42.580368,9998480
2003-01-01,59.987499,61.974998,59.987499,61.087502,43.271000,6027072
2003-01-02,61.525002,62.924999,57.912498,58.299999,41.296490,5325328
2003-01-03,60.000000,61.049999,58.500000,59.012501,41.801186,4198040
2003-01-06,59.924999,60.187500,56.875000,57.262501,40.561573,4121520
2003-01-07,58.000000,58.500000,56.062500,56.599998,40.092308,2650800
2003-01-08,57.349998,59.150002,56.924999,58.625000,41.526718,2648456
2003-01-09,59.000000,60.150002,58.450001,59.200001,41.934010,2630400
2003-01-10,60.000000,60.000000,55.262501,55.575001,39.366245,1702816
2003-01-13,56.224998,56.750000,54.250000,56.137501,39.764698,2421496
2003-01-14,56.724998,58.625000,56.500000,56.887501,40.295959,2239360
2003-01-15,57.349998,58.625000,57.025002,58.025002,41.101692,2759760
2003-01-16,58.462502,60.200001,57.525002,58.849998,41.686073,2842656
2003-01-17,58.125000,59.000000,57.275002,57.525002,40.747528,1284144
2003-01-20,57.250000,57.474998,55.275002,55.687500,39.445930,928872
2003-01-21,55.762501,56.562500,54.000000,54.237499,38.418835,1147240
2003-01-22,54.700001,55.750000,54.075001,54.474998,38.587074,1081352
2003-01-23,53.750000,54.474998,51.775002,52.474998,37.170372,1001872
2003-01-24,52.625000,53.474998,49.887501,50.599998,35.842224,1436848
2003-01-27,48.000000,49.974998,46.275002,47.075001,33.345329,916832
2003-01-28,48.137501,50.750000,46.250000,50.362499,35.674000,2043224
2003-01-29,50.525002,51.250000,48.549999,48.937500,34.664616,1370440
2003-01-30,48.775002,51.099998,48.775002,49.687500,35.195873,1203464
2003-01-31,48.750000,50.112499,48.174999,48.487499,34.345856,1083040
2003-02-03,48.812500,52.474998,48.625000,52.187500,36.966732,1566808
2003-02-04,52.250000,53.474998,50.012501,50.549999,35.806824,1311144
2003-02-05,49.750000,50.500000,48.837502,49.612499,35.142735,845080
2003-02-06,49.687500,50.900002,49.125000,50.612499,35.851082,946624
2003-02-07,50.137501,51.912498,49.562500,50.125000,35.505764,1023440
2003-02-10,49.500000,50.224998,48.299999,48.462502,34.328136,449688
2003-02-11,48.500000,49.737499,47.750000,48.025002,34.018250,701960
2003-02-12,48.525002,48.750000,47.025002,47.387501,33.566689,459064
2003-02-13,47.387501,47.387501,47.387501,47.387501,33.566689,0
2003-02-14,45.637501,47.849998,44.562500,44.987499,31.866650,790336
2003-02-17,46.250000,48.000000,45.787498,47.849998,33.894272,795272
2003-02-18,48.599998,49.000000,47.325001,47.562500,33.690636,819688
2003-02-19,48.250000,48.462502,47.412498,47.587502,33.708340,455960
2003-02-20,46.400002,47.737499,45.825001,47.437500,33.602089,542944
2003-02-21,47.500000,47.950001,46.424999,46.612499,33.017712,494544
2003-02-24,47.737499,47.737499,46.500000,46.900002,33.221367,326488
2003-02-25,45.387501,47.000000,45.387501,45.799999,32.442192,264440
2003-02-26,46.275002,46.950001,44.650002,45.000000,31.875519,422312
2003-02-27,44.750000,46.450001,44.700001,45.687500,32.362488,280480
2003-02-28,47.387501,48.500000,46.049999,48.049999,34.035957,694688
2003-03-03,46.275002,48.987499,46.275002,47.525002,33.664082,500896
2003-03-04,47.000000,47.000000,46.000000,46.337502,32.822918,255760
2003-03-05,45.825001,47.000000,44.937500,46.525002,32.955723,471552
2003-03-06,46.900002,46.900002,45.000000,45.262501,32.061447,265080
2003-03-07,45.974998,45.974998,43.812500,44.000000,31.167185,518664
2003-03-10,43.837502,44.250000,40.375000,41.025002,29.059837,346400
2003-03-11,40.000000,43.450001,39.575001,42.012501,29.759335,497168
2003-03-12,43.174999,43.174999,41.200001,41.387501,29.316607,481872
2003-03-13,42.212502,42.724998,41.000000,41.924999,29.697340,390112
2003-03-14,41.924999,41.924999,41.924999,41.924999,29.697340,0
2003-03-17,40.775002,43.000000,40.275002,41.799999,29.608805,373856
2003-03-18,41.799999,41.799999,41.799999,41.799999,29.608805,0
2003-03-19,42.875000,43.250000,41.312500,41.712502,29.546824,374256
2003-03-20,41.875000,43.000000,41.000000,42.724998,30.264029,537616
2003-03-21,42.724998,42.724998,42.724998,42.724998,30.264029,0
2003-03-24,43.375000,43.750000,41.250000,41.587502,29.458279,328920
2003-03-25,42.474998,42.474998,40.125000,40.987499,29.033272,351496
2003-03-26,42.250000,42.250000,40.125000,40.799999,28.900461,260264
2003-03-27,40.474998,41.000000,40.000000,40.412498,28.625978,241056
2003-03-28,41.500000,41.500000,40.000000,40.174999,28.457743,218000
2003-03-31,32.474998,39.712502,32.474998,38.387501,27.191582,230712
2003-04-01,null,null,null,null,null,null
2003-04-02,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-03,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-04,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-07,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-08,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-09,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-10,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-11,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-14,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-15,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-16,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-17,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-18,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-21,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-22,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-23,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-24,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-25,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-28,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-29,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-04-30,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-01,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-02,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-05,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-06,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-07,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-08,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-09,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-12,38.387501,38.387501,38.387501,38.387501,27.191582,0
2003-05-13,38.387501,38.387501,38.387501,38.387501,27.191582,0
