Date,Open,High,Low,Close,Volume,trend
08/12/2002,38.724998,40,38.724998,39.700001,212976,bullish
08/13/2002,39.75,40.387501,38.875,39.162498,153576,bearish
08/14/2002,39.25,39.25,35.724998,36.462502,822776,bearish
08/15/2002,36.462502,36.462502,36.462502,36.462502,0,bearish
08/16/2002,36.275002,38,35.75,36.375,811856,bullish
08/19/2002,36.674999,36.674999,35.137501,35.474998,205880,bearish
08/20/2002,35.724998,38.724998,35.487499,36.462502,3773624,bullish
08/21/2002,38.474998,39.200001,36.525002,38.25,3011064,bearish
08/22/2002,39.512501,41.575001,39.3125,39.900002,6732480,bullish
08/23/2002,40.25,43.625,39.762501,42.299999,4841672,bullish
08/26/2002,42.974998,43.25,41.8125,42.150002,2576912,bearish
08/27/2002,42.5,44.25,40.75,41.099998,3694224,bearish
08/28/2002,40.974998,41.599998,40.287498,41.137501,1674960,bullish
08/29/2002,40.887501,41.875,40.75,41.137501,1236544,bullish
08/30/2002,41.262501,45.125,41.25,44.049999,3762384,bullish
09/02/2002,44.75,45.974998,44.049999,44.5,2389568,bearish
09/03/2002,44.75,44.9375,42,42.412498,986784,bearish
09/04/2002,41.875,43.75,41.387501,43.337502,1449856,bullish
09/05/2002,44.662498,44.862499,42.5,43.075001,1061360,bearish
09/06/2002,43.25,43.25,41.012501,41.474998,907472,bearish
09/09/2002,39.5,42.6875,39.5,40.9375,880848,bullish
09/10/2002,40.9375,40.9375,40.9375,40.9375,0,bearish
09/11/2002,41.162498,42.700001,41.162498,41.974998,635936,bullish
09/12/2002,42.487499,43.224998,41.900002,42.1875,781968,bearish
09/13/2002,40.712502,42.224998,40.637501,40.987499,338264,bullish
09/16/2002,41.375,41.599998,39.875,40.1875,288592,bearish
09/17/2002,40.912498,41.625,40.775002,41.362499,462952,bullish
09/18/2002,41.125,41.25,39.75,40.087502,315432,bearish
09/19/2002,39.75,41.075001,39.25,39.75,490848,bearish
09/20/2002,38.325001,39.674999,38.162498,39.099998,501072,bullish
09/23/2002,39.375,39.474998,38.275002,38.4375,248504,bearish
09/24/2002,38.299999,38.299999,36.724998,37.137501,267912,bearish
09/25/2002,36.275002,37.75,36,37.424999,379544,bullish
09/26/2002,38.200001,38.612499,37.75,38.012501,178136,bearish
09/27/2002,37.887501,39,37.887501,38.474998,206288,bullish
09/30/2002,37.887501,38.474998,36.275002,37.075001,202232,bearish
10/01/2002,37.25,37.75,36.125,36.762501,240192,bearish
10/02/2002,36.762501,36.762501,36.762501,36.762501,0,bearish
10/03/2002,37.25,39.75,37.25,37.75,673264,bullish
10/04/2002,38.25,38.362499,37.125,37.512501,258296,bearish
10/07/2002,37.762501,38,37.025002,37.349998,110976,bearish
10/08/2002,37.462502,38.724998,37.25,38.362499,227352,bullish
10/09/2002,38.5,39.112499,37.0625,37.387501,277040,bearish
10/10/2002,38.5,38.5,36.637501,37.424999,173224,bearish
10/11/2002,38.474998,38.9375,38.112499,38.212502,192536,bearish
10/14/2002,38.924999,39,37.575001,37.9375,152744,bearish
10/15/2002,37.9375,37.9375,37.9375,37.9375,0,bearish
10/16/2002,42.775002,42.775002,37.775002,38.012501,247760,bearish
10/17/2002,38.25,38.25,37.525002,38.012501,144512,bearish
10/18/2002,38.75,39.924999,38.287498,38.8125,512312,bullish
10/21/2002,39.724998,40.737499,39.25,39.412498,646296,bearish
10/22/2002,39.75,39.75,37.75,37.987499,229384,bearish
10/23/2002,38.25,38.700001,37.525002,37.8125,153320,bearish
10/24/2002,38.224998,38.349998,36.900002,37.150002,168744,bearish
10/25/2002,36.5,37.087502,36.275002,36.387501,172296,bearish
10/28/2002,36.125,36.5,35.549999,35.849998,134504,bearish
10/29/2002,35.75,36.450001,35.549999,36.162498,143024,bullish
10/30/2002,36.5,37.4375,36.25,36.775002,164320,bullish
10/31/2002,37,37.5,36.799999,37.349998,118928,bullish
11/01/2002,37.525002,38.150002,36.762501,36.962502,108792,bearish
11/04/2002,37.5,37.5,36.950001,37.237499,56560,bearish
11/05/2002,36.887501,37.325001,36.599998,36.837502,70288,bearish
11/06/2002,36.837502,36.837502,36.837502,36.837502,0,bearish
11/07/2002,37.5,39.5,37.5,37.974998,204880,bullish
11/08/2002,37.25,37.737499,37.025002,37.3125,77664,bullish
11/11/2002,37.5,37.5,36.674999,36.75,66568,bearish
11/12/2002,36.5,37.5,36.5,36.9375,106864,bullish
11/13/2002,37.125,37.224998,36.424999,36.625,106264,bearish
11/14/2002,37.200001,37.900002,36.637501,37.125,211856,bearish
11/15/2002,37.950001,38.162498,37.5,37.924999,154144,bearish
11/18/2002,38.25,38.737499,37.837502,38.3125,217672,bullish
11/19/2002,38.3125,38.3125,38.3125,38.3125,0,bearish
11/20/2002,38.25,39.875,38.25,39.575001,406128,bullish
11/21/2002,40.3125,44.724998,40.3125,43,2664024,bullish
11/22/2002,41.387501,45.174999,41.387501,42.337502,1184016,bullish
11/25/2002,42.75,43.200001,41.75,42.262501,428920,bearish
11/26/2002,42.625,43.450001,41.775002,42.012501,367496,bearish
11/27/2002,42.75,42.75,40.887501,41.125,301128,bearish
11/28/2002,41.525002,43.724998,41.512501,42.799999,447680,bullish
11/29/2002,42.799999,42.799999,42.799999,42.799999,0,bearish
12/02/2002,44.875,49,44.474998,47.387501,1388680,bullish
12/03/2002,48.5,52.424999,46.775002,50.099998,4082608,bullish
12/04/2002,49.224998,51.1875,47.762501,48.424999,2594928,bearish
